Province,Barangay,ZIP Code
Abra,Bangued,2800
Abra,Boliney,2815
Abra,Bucloc,2817
Abra,Bucay,2805
Abra,Daguioman,2816
Abra,Danglas,2825
Abra,Dolores,2801
Abra,La Paz,2826
Abra,Lacub,2821
Abra,Lagayan,2824
Abra,Lagangilang,2802
Abra,Langiden,2807
Abra,Licuan-Baay,2819
Abra,Luba,2813
Abra,Malibcong,2820
Abra,Manabo,2810
Abra,Peñarrubia,2804
Abra,Pidigan,2806
Abra,Pilar,2812
Abra,Sal-Lapadan,2818
Abra,San Isidro,2809
Abra,San Juan,2823
Abra,San Quintin,2808
Abra,Tayum,2803
Abra,Tineg,2822
Abra,Tubo,2814
Abra,Villaviciosa,2811
Agusan del Norte,Buenavista,8601
Agusan del Norte,Butuan City,8600
Agusan del Norte,Cabadbaran,8605
Agusan del Norte,Carmen,8603
Agusan del Norte,Jabonga,8607
Agusan del Norte,Kitcharao,8609
Agusan del Norte,Las Nieves,8610
Agusan del Norte,Magallanes,8604
Agusan del Norte,Nasipit,8602
Agusan del Norte,Remedios T. Romualdez,8611
Agusan del Norte,Santiago,8608
Agusan del Norte,Tubay,8606
Agusan del Sur,Bayugan,8502
Agusan del Sur,Bunawan,8506
Agusan del Sur,Esperanza,8513
Agusan del Sur,La Paz,8508
Agusan del Sur,Loreto,8507
Agusan del Sur,Prosperidad,8500
Agusan del Sur,Rosario,8504
Agusan del Sur,San Francisco,8501
Agusan del Sur,San Luis,8511
Agusan del Sur,Sibagat,8503
Agusan del Sur,Sta. Josefa,8512
Agusan del Sur,Talacogon,8510
Agusan del Sur,Trento,8505
Agusan del Sur,Veruela,8509
Aklan,Altavas,5616
Aklan,Balete,5614
Aklan,Banga,5601
Aklan,Batan,5615
Aklan,Buruanga,5609
Aklan,Ibajay,5613
Aklan,Kalibo,5600
Aklan,Lezo,5605
Aklan,Libacao,5602
Aklan,Madalag,5603
Aklan,Makato,5611
Aklan,Malay,5608
Aklan,Malinao,5606
Aklan,Nabas,5607
Aklan,New Washington,5610
Aklan,Numancia,5604
Aklan,Tangalan,5612
Albay,Bacacay,4509
Albay,Camalig,4502
Albay,Daraga (Locsin),4501
Albay,Guinobatan,4503
Albay,Jovellar,4515
Albay,Legazpi City,4500
Albay,Libon,4507
Albay,Ligao,4504
Albay,Malilipot,4510
Albay,Malinao,4512
Albay,Manito,4514
Albay,Oas,4505
Albay,Pio Duran (Malacbalac),4516
Albay,Polangui,4506
Albay,Rapu-Rapu,4517
Albay,Sto. Domingo,4508
Albay,Tabaco,4511
Albay,Tiwi,4513
Antique,Anini-y,5717
Antique,Barbaza,5706
Antique,Belison,5701
Antique,Bugasong,5704
Antique,Caluya,5711
Antique,Culasi,5708
